Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
Argentina,"Pig

  (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=212&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Dominican Republic,"Pig

  (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=213&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Japan,"Nile tilapia

  (",Oreochromis niloticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=214&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
United States,"Pig

  (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=210&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Brazil,"Pig

  (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=22&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Brazil,"Cattle

  (",Bos taurus,PRLR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=12&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Colombia,"Pig

  (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=21&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Japan,"Olive flounder

  (",Paralichthys olivaceus,LEPR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=18&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Japan,"Red sea bream

  (",Pagrus major,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=16&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Japan,"Tiger pufferfish

  (",Takifugu rubripes,LEPR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=17&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
United States,"Cattle

  (",Bos taurus,PRLR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=9&RegProcess=1,,Cloned cell line,"nucleofected horse fetal fibroblasts with 1, 2 or 5√É¬Ç√Ç¬†√É¬Ç√Ç¬µg of 2 different gRNA/Cas9 plasmids targeting the first exon of√É¬Ç√Ç¬†MSTN.√É¬Ç√Ç",No,Yes,CRISPR
Argentina,"Horse

  (",Equus caballus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=211&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Brazil,"Cattle

  (",Bos taurus,PRLR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=10&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Japan,"Red sea bream

  (",Pagrus major,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=23&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Japan,"Tiger pufferfish

  (",Takifugu rubripes,LEPR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=24&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Argentina,"Cattle

  (",Bos taurus,PRLR,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=11&RegProcess=1,,Other,,No,Yes,CRISPR
Argentina,"Cattle

  (",Bos taurus,"PRLR, Pc POLLED",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=13&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Brazil,"Nile tilapia

  (",Oreochromis niloticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=20&RegProcess=1,,Embryo edit,,No,Yes,CRISPR
Argentina,"Nile tilapia

  (",Oreochromis niloticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=19&RegProcess=1,,,,,,CRISPR
Japan,"Chicken
",Gallus gallus,OVM,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=86&RegProcess=0,"Hiroshima University Higashi-Hiroshima, Hiroshima JP",Other,PGC were transfected and injected into the subgerminal cavity of an embryo recipient,No,No,TALEN
United States,"Channel catfish
",Ictalurus punctatus,fsh,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=92&RegProcess=0,"Auburn University Auburn, AL 36849 US",Embryo edit,Fertilized eggs were electroporated with TALEN plasmids targetin fsh,No,No,TALEN
China,"Cattle
",Bos taurus,"SRY, ZFY, DDX3Y, Eif2s3y",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=53&RegProcess=0,"China Agricultural University Beijing, 100193 CN",Cloned cell line,"The gene-targeting vector pSRY-EGFP was constructed as shown in Fig. 2a. We introduced Sry TALEN pair 1, along with a 9 kb dsDNA donor construct pSRY-EGFP that contained the self-cleaving peptide the 2A regions of Thosea asigna virus (T2A) incorporated EGFP (T2A-EGFP) and a positive selection marker Neomycin (NEO) flanked by short homologous arms (843 bp and 910 bp for 5' and 3' arms, respectively) and a negative selection marker diphtheria toxin A (DTA)",Yes,No,TALEN
New Zealand,"Cattle
",Bos taurus,PMEL,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=49&RegProcess=0,AgResearch Ltd NZ,Embryo edit,microinjection of plasmid and ssODN,No,No,TALEN
China,"Pig
",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=168&RegProcess=0,"Institute of Animal Sciences, Chinese Academy of Agricultural Sciences Beijing CN",Cloned cell line,,No,No,TALEN
South Korea,"Pig
",Sus scrofa domesticus,GGTA1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=2&RegProcess=0,Optipharm Inc Cheongju 28158 KR,Cloned cell line,"Approximately 1 Ã 106 fetal fibroblasts weretransfected with 1.7 Âµg pX330-501 vector and 3.3 Âµg donor vector. After 48 h, the cells were transferred to ten 10-cm plates with selective medium containing G418 (600 Âµg/mL, promega). After 10 days, the resistant colonies were selected and expanded, and a smallsample of every colony was subjected togenotyping.",No,No,TALEN
China,"Cattle
",Bos taurus,LacS,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=54&RegProcess=0,Inner Mongolia University Hohhot 010021 CN,Cloned cell line,,Yes,No,TALEN
China,"Silkworm
",Bombyx mori,MaSp1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=33&RegProcess=0,"Chinese Academy of Sciences, Shanghai CN",Other,Germ line transformation was performed by delivering mixed solutions of TALEN mRNAs and donor plasmids into preblastoderm embryos of B. mori.,Yes,No,TALEN
China,"Sterlet
",Acipenser ruthenus,ntl,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=26&RegProcess=0,"Chinese Academy of Sciences, Shanghai CN",Embryo edit,Each gRNA was transcribed and mixed with Cas9 nuclease. The Cas9 nuclease/gRNA at was microinjected into the animal pole of one-cell stage embryos.,Yes,No,TALEN
New Zealand,"Cattle
",Bos taurus,BLG,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=39&RegProcess=0,AgResearch Ltd NZ,Embryo edit,microinjection of plasmid and ssODN,No,No,TALEN
China,"Goat
",Capra hircus,LF,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=61&RegProcess=0,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonosis/College of animal science and technology, Yangzhou University Yangzhou, Jiangsu 225009 CN",Cloned cell line,insertion of hLF cDNA in the goat beta-lactoglobulin (BLG) locus with homology-directed repair.,Yes,No,TALEN
China,"Pig
",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=178&RegProcess=0,"Yanbian University Yanji, 133002 CN",Cloned cell line,"Aliquots of 1 Ã 106 PFF cells were electroporated with 40 Âµg plasmid DNA encoding the left and right MSTN-TALENs and the surrogate reporter at a weight ratio of 2 : 2 : 1, respectively, according to the manufacturer's protocol.",No,No,TALEN
United Kingdom,"Chicken
",Gallus gallus,DDX4,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=77&RegProcess=0,"The Roslin Institute, University of Edinburgh idlothian EH25 9RG UK",Other,TALEN-mediated homologous recombination to target the chicken DDX locus,Yes,No,TALEN
China,"Common Carp
",Cyprinus carpio,"sp7, runx2, spp1, MSTN, sp7, MSTN, runx2, opg, bmp2",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=206&RegProcess=0,"Soochow University Suzhou 215123, Jiangsu CN",Embryo edit,"TALEN pairs each for runx2, sp7a, mstnba and spp1a were microinjected into the one-cell common carp embryos at a concentration of 250?ng/ul per arm, respectively",No,No,TALEN
China,"Pig
",Sus scrofa domesticus,GGTA1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=160&RegProcess=0,"College of Animal Science and Technology, Yunnan Agricultural University Kunming, 650201 CN",Cloned cell line,,No,No,TALEN
China,"Sheep
",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=135&RegProcess=0,Yunnan Agricultural University Kunming 650201 CN,Cloned cell line,TALEN plasmid specific for ovine MSTN and transfected it into fetal fibroblast cells of STH sheep.,No,No,TALEN
United States,"Cattle
",Bos taurus,polled,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=50&RegProcess=0,Recombinetics US,Cloned cell line,The repair template was provided as a plasmid,Yes,No,TALEN
China,"Cattle
",Bos taurus,SP110,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=41&RegProcess=0,"Northwest A&F University Yangling 712100, Shaanxi CN",Cloned cell line,Nine of the transgenic cell colonies were used as donor cells to produce cloned transgenic cattle.,Yes,No,TALEN
China,"Goat
",Capra hircus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=66&RegProcess=0,"Yangzhou University Yangzhou, Jiangsu 225009 CN",Cloned cell line,Fibroblasts from pedigreed goats were co-transfected with MTAL-2,No,No,TALEN
Japan,"Pig
",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=174&RegProcess=0,"School of Agriculture, Meiji University Kawasaki JP",Cloned cell line,Cells were cloned,No,No,TALEN
Japan,"Pig
",Sus scrofa domesticus,"GGTA1, CMAH",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=190&RegProcess=0,"Division of Organ Transplantation, Department of Surgery, Osaka University Graduate School of Medicine Osaka 565-0871 JP",Cloned cell line,,No,No,TALEN
China,"Yellow catfish
",Tachysurus fulvidraco,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=192&RegProcess=0,"MOE Key Laboratory of Model Animal for Disease Study, Model Animal Research Center, Nanjing University Nanjing CN",Embryo edit,,No,No,TALEN
South Korea,"Chicken
",Gallus gallus,OVA,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=84&RegProcess=0,"Seoul National University, Gwanak-gu 151-921 KR",Other,"In this study, in combination with chicken primordial germ cell line with germ-line transmission capacity, we generated the ovalbumin gene knockout chickens by TALEN-mediated gene targeting",No,No,TALEN
United States,"Cattle
",Bos taurus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=42&RegProcess=0,"Acceligen Inc. Eagan, MN US",Embryo edit,The zygotes were subjected to a single 2â5pl injection of 2 ng/ul TALEN mRNA,No,No,TALEN
United States,"Sheep
",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=131&RegProcess=0,"Acceligen Inc. Eagan, MN US",Embryo edit,The zygotes were subjected to a single 2â5pl injection of 2 ng/ul TALEN mRNA,No,No,TALEN
China,"Pig
",Sus scrofa domesticus,GGTA1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=162&RegProcess=0,"Jilin University, Changchun Jilin Province CN",Embryo edit,,No,No,TALEN
Argentina,Cattle,Bos taurus x Bos taurus indicus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=15&RegProcess=1,,Embryo edit,,No,Yes,TALEN
Brazil,Cattle,Bos taurus x Bos taurus indicus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=14&RegProcess=1,,Embryo edit,,No,Yes,TALEN
