Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
China,"Gibel carp
          (",Carassius gibelio Bloch,"Cgfoxl2a-B, Cgfoxl2b-A, Cgfoxl2b-B",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=72&RegProcess=0,Inner Mongolia UniversityHohhot 010021CN,Cloned cell line,Cas9/gRNA co-expression plasmids,Yes,No,CRISPR
China,"Goat
          (",Capra hircus,FGF5,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=57&RegProcess=0,"University of Chinese Academy of SciencesBeijing, 100049CN",Embryo edit,"Electroporation. 0.5 Âµg gRNA1, 0.5 Âµg gRNA2 and 1.0 Âµg Cas9 mRNA for myomaker (two gRNAs), and 0.7 Âµg gRNA and 1.4 Âµg Cas9 mRNA for gsdf (one gRNA) were respectively mixed in 100 ÂµL 1?Ã?PBS for electroporating.",No,No,CRISPR
China,"Olive flounder
          (",Paralichthys olivaceus,"Myomaker, gsdf",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=141&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Cloned cell line,electroporation of plasmids into PFFs,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,"fat-1, IGF1",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=156&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Cloned cell line,,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,FST,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=159&RegProcess=0,"Sun Yat-sen UniversityGuangzhou, 510006CN",Cloned cell line,The pX458-sgRNA recombinant plasmid was transfected into the kidney cells of Liang Guang Small Spotted pig (LPKC) by electroporation. The EGFP-positive cells were sorted through FACS and used as donor cells for SCNT.,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=176&RegProcess=0,"Huazhong Agricultural UniversityWuhan, 437000, HubeiCN",Cloned cell line,,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,PPARγ,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=183&RegProcess=0,"Czech Academy of SciencesVidenska 1083, 142 20 PragueCZ",Other,PGCs (2.5 Ã 105) were suspended in Nucleofector Solution V (Lonza) and mixed with 10 Âµg of pX458-TVA in total volume of 100 ÂµL. Nucleofection was performed with the AMAXA nucleofector,No,No,CRISPR
Czech Republic,"Chicken
          (",Gallus gallus,Tva,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=88&RegProcess=0,"Friedrich-Loeffler-InstitutMariensee, 31535 Neustadt am RÃ¼benbergeDE",Embryo edit,A total of 31 or 32 embryos derived from intracytoplasmic microinjection of the Cas9 protein and gRNA SRY_1 and SRY_3 into in vitro fertilization (IVF) produced zygotes were surgically transferred into each of three hormonally synchronized recipient sows.,No,No,CRISPR
Germany,"Pig
          (",Sus scrofa domesticus,Tva,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=187&RegProcess=0,Volcani InstituteIL,Embryo edit,Microinjection of RNPs,No,No,CRISPR
Israel,"Nile tilapia
          (",Oreochromis niloticus,slc45a2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=112&RegProcess=0,"Faculty of Bioscience and Bioindustry, Tokushima UniversityTokushimaJP",Embryo edit,Lipofection-mediated RNP transfection,No,No,CRISPR
